temperature_K,time_ps,frame_index,n_pure,n_err
1500,3634.000000,1816,0,0.000000
1500,3648.000000,1823,0,0.000000
1500,3660.000000,1829,0,0.000000
1500,3672.000000,1835,0,0.000000
1500,3684.000000,1841,0,0.000000
1500,3698.000000,1848,0,0.000000
1500,3710.000000,1854,0,0.000000
1500,3722.000000,1860,0,0.000000
1500,3734.000000,1866,0,0.000000
1500,3748.000000,1873,0,0.000000
1500,3760.000000,1879,0,0.000000
1500,3772.000000,1885,0,0.000000
1500,3784.000000,1891,0,0.000000
1500,3798.000000,1898,0,0.000000
1500,3810.000000,1904,0,0.000000
1500,3822.000000,1910,0,0.000000
1500,3836.000000,1917,0,0.000000
1500,3848.000000,1923,0,0.000000
1500,3860.000000,1929,0,0.000000
1500,3872.000000,1935,0,0.000000
1500,3886.000000,1942,0,0.000000
1500,3898.000000,1948,0,0.000000
1500,3910.000000,1954,0,0.000000
1500,3922.000000,1960,0,0.000000
1500,3936.000000,1967,0,0.000000
1500,3948.000000,1973,0,0.000000
1500,3960.000000,1979,0,0.000000
1500,3972.000000,1985,0,0.000000
1500,3986.000000,1992,0,0.000000
1500,3998.000000,1998,0,0.000000
1500,4010.000000,2004,0,0.000000
1500,4022.000000,2010,0,0.000000
1500,4036.000000,2017,0,0.000000
1500,4048.000000,2023,0,0.000000
1500,4060.000000,2029,0,0.000000
1500,4074.000000,2036,0,0.000000
1500,4086.000000,2042,0,0.000000
1500,4098.000000,2048,0,0.000000
1500,4110.000000,2054,0,0.000000
1500,4124.000000,2061,0,0.000000
1500,4136.000000,2067,0,0.000000
1500,4148.000000,2073,0,0.000000
1500,4160.000000,2079,0,0.000000
1500,4174.000000,2086,0,0.000000
1500,4186.000000,2092,0,0.000000
1500,4198.000000,2098,0,0.000000
1500,4210.000000,2104,0,0.000000
1500,4224.000000,2111,0,0.000000
1500,4236.000000,2117,0,0.000000
1500,4248.000000,2123,0,0.000000
1500,4260.000000,2129,0,0.000000
1500,4274.000000,2136,0,0.000000
1500,4286.000000,2142,0,0.000000
1500,4298.000000,2148,0,0.000000
1500,4312.000000,2155,0,0.000000
1500,4324.000000,2161,0,0.000000
1500,4336.000000,2167,0,0.000000
1500,4348.000000,2173,0,0.000000
1500,4362.000000,2180,0,0.000000
1500,4374.000000,2186,0,0.000000
1500,4386.000000,2192,0,0.000000
1500,4398.000000,2198,0,0.000000
1500,4412.000000,2205,0,0.000000
1500,4424.000000,2211,0,0.000000
1500,4436.000000,2217,0,0.000000
1500,4448.000000,2223,0,0.000000
1500,4462.000000,2230,0,0.000000
1500,4474.000000,2236,0,0.000000
1500,4486.000000,2242,0,0.000000
1500,4498.000000,2248,0,0.000000
1500,4512.000000,2255,0,0.000000
1500,4524.000000,2261,0,0.000000
1500,4536.000000,2267,0,0.000000
1500,4550.000000,2274,0,0.000000
1500,4562.000000,2280,0,0.000000
1500,4574.000000,2286,0,0.000000
1500,4586.000000,2292,0,0.000000
1500,4600.000000,2299,0,0.000000
1500,4612.000000,2305,0,0.000000
1500,4624.000000,2311,0,0.000000
1500,4636.000000,2317,0,0.000000
1500,4650.000000,2324,0,0.000000
1500,4662.000000,2330,0,0.000000
1500,4674.000000,2336,0,0.000000
1500,4686.000000,2342,0,0.000000
1500,4700.000000,2349,0,0.000000
1500,4712.000000,2355,0,0.000000
1500,4724.000000,2361,0,0.000000
1500,4736.000000,2367,0,0.000000
1500,4750.000000,2374,0,0.000000
1500,4762.000000,2380,0,0.000000
1500,4774.000000,2386,0,0.000000
1500,4788.000000,2393,0,0.000000
1500,4799.999999,2399,0,0.000000
1500,4811.999999,2405,0,0.000000
1500,4823.999999,2411,0,0.000000
1500,4837.999999,2418,0,0.000000
1500,4849.999999,2424,0,0.000000
1500,4861.999999,2430,0,0.000000
1500,4873.999999,2436,0,0.000000
1500,4887.999999,2443,0,0.000000
1500,4899.999999,2449,0,0.000000
1500,4911.999999,2455,0,0.000000
1500,4923.999999,2461,0,0.000000
1500,4937.999999,2468,0,0.000000
1500,4949.999999,2474,0,0.000000
1500,4961.999999,2480,0,0.000000
1500,4973.999999,2486,0,0.000000
1500,4987.999999,2493,0,0.000000
1500,4999.999999,2499,0,0.000000
1600,2.000000,0,0,0.000000
1600,14.000000,6,0,0.000000
1600,28.000000,13,0,0.000000
1600,40.000000,19,0,0.000000
1600,52.000000,25,0,0.000000
1600,64.000000,31,0,0.000000
1600,78.000000,38,0,0.000000
1600,90.000000,44,0,0.000000
1600,102.000000,50,0,0.000000
1600,114.000000,56,0,0.000000
1600,128.000000,63,0,0.000000
1600,140.000000,69,0,0.000000
1600,152.000000,75,0,0.000000
1600,164.000000,81,0,0.000000
1600,178.000000,88,0,0.000000
1600,190.000000,94,0,0.000000
1600,202.000000,100,0,0.000000
1600,214.000000,106,0,0.000000
1600,228.000000,113,0,0.000000
1600,240.000000,119,0,0.000000
1600,252.000000,125,0,0.000000
1600,266.000000,132,0,0.000000
1600,278.000000,138,0,0.000000
1600,290.000000,144,0,0.000000
1600,302.000000,150,0,0.000000
1600,316.000000,157,0,0.000000
1600,328.000000,163,0,0.000000
1600,340.000000,169,0,0.000000
1600,352.000000,175,0,0.000000
1600,366.000000,182,0,0.000000
1600,378.000000,188,0,0.000000
1600,390.000000,194,0,0.000000
1600,402.000000,200,0,0.000000
1600,416.000000,207,0,0.000000
1600,428.000000,213,0,0.000000
1600,440.000000,219,0,0.000000
1600,452.000000,225,0,0.000000
1600,466.000000,232,0,0.000000
1600,478.000000,238,0,0.000000
1600,490.000000,244,0,0.000000
1600,504.000000,251,0,0.000000
1600,516.000000,257,0,0.000000
1600,528.000000,263,0,0.000000
1600,540.000000,269,0,0.000000
1600,554.000000,276,0,0.000000
1600,566.000000,282,0,0.000000
1600,578.000000,288,0,0.000000
1600,590.000000,294,0,0.000000
1600,604.000000,301,0,0.000000
